"id","name","created_at","updated_at","kladr"
1,Череповец,"2019-07-26 22:03:45","2021-10-05 16:09:31","3500000200000"
2,Калуга,"2019-07-30 00:48:36","2021-10-05 16:09:31","4000000100000"
3,Москва,"2019-07-30 00:48:36","2021-10-05 16:09:31","7700000000000"
4,Расково п,"2019-07-30 00:48:36","2019-07-30 00:48:36",""
5,Краснодар,"2019-07-30 00:48:36","2021-10-05 16:09:31","2300000100000"
6,Набережные Челны,"2019-07-30 00:48:36","2021-10-05 16:09:31","1600000200000"
7,Самара,"2019-07-30 00:48:36","2021-10-05 16:09:31","6300000100000"
8,Санкт-Петербург,"2019-07-30 00:48:36","2021-10-05 16:09:31","7800000000000"
9,Волгоград,"2019-07-30 00:48:36","2021-10-05 16:09:31","3400000100000"
10,Оренбург,"2019-07-30 00:48:36","2021-10-05 16:09:31","5600000100000"
11,Сургут,"2019-07-30 00:48:36","2021-10-05 16:09:31","8600001000000"
12,Новосибирск,"2019-07-30 00:48:36","2021-10-05 16:09:31","5400000100000"
13,Ярославль,"2019-07-30 00:48:36","2021-10-05 16:09:31","7600000100000"
14,"","2019-07-30 00:48:36","2019-07-30 00:48:36",""
15,Совхоз им Ленина п,"2019-07-30 00:48:36","2019-07-30 00:48:36",""
16,Мытищи,"2019-08-07 21:17:22","2021-10-05 16:09:31","5000004400000"
17,Барнаул,"2019-08-07 21:17:22","2021-10-05 16:09:31","2200000100000"
18,Воронеж,"2019-08-07 21:17:22","2021-10-05 16:09:31","3600000100000"
19,Ростов-на-Дону,"2019-08-07 21:17:22","2021-10-05 16:09:31","6100000100000"
20,Челябинск,"2019-08-07 21:17:22","2021-10-05 16:09:31","7400000100000"
21,Екатеринбург,"2019-08-07 21:17:22","2021-10-05 16:09:31","6600000100000"
22,Тюмень,"2019-08-07 21:17:22","2021-10-05 16:09:31","7200000100000"
23,Киров,"2019-08-07 21:17:22","2021-10-05 16:09:31","4001100100000"
24,Курск,"2019-08-07 21:17:22","2021-10-05 16:09:31","4600000100000"
25,Липецк,"2019-08-07 21:17:22","2021-10-05 16:09:31","4800000100000"
26,Нижний Новгород,"2019-08-07 21:17:22","2021-10-05 16:09:31","5200000100000"
27,Томск,"2019-08-07 21:17:22","2021-10-05 16:09:31","7000000100000"
28,Зеленоград,"2019-08-07 21:17:22","2021-10-05 16:09:31","3900600100000"
29,Красноярск,"2019-08-07 21:17:22","2021-10-05 16:09:31","2400000100000"
